# scan = 56
# date = 4/30/2024
# time = 7:52:02 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scan sgu 5 -5 1
# builtin_command = scan sgu 5 -5 1
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = phonon scans at room temperature HHL plane
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.048583,5.048583,13.854450,90.000000,90.000000,120.000000
# ubmatrix = -0.191810,-0.191810,0.018010,-0.049423,-0.049423,-0.069896,0.114359,-0.114359,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = UB29Apr2024_70313PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = sgu
# def_y = detector
# col_headers = 
#   Pt.        sgu       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q          h          k          l         ei         ef          e        vti     sample       temp
      1     5.0000      1.000  41654.000   2451.000      1.114    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -77.9000    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.0794    -0.0804     2.9893     4.8000     4.8000     0.0000     0.0000     0.0000   100.000
      2     4.0000      1.000  59712.000   2611.000      1.187    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -77.9000    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.0636    -0.0643     2.9931     4.8000     4.8000     0.0000     0.0000     0.0000   100.000
      3     3.0000      1.000  75712.000   2587.000      1.176    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -77.9000    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.0478    -0.0482     2.9961     4.8000     4.8000     0.0000     0.0000     0.0000   100.000
      4     2.0000      1.000  89726.000   2612.000      1.187    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -77.9000    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.0319    -0.0321     2.9983     4.8000     4.8000     0.0000     0.0000     0.0000   100.000
      5     1.0000      1.000 102308.000   2479.000      1.127    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -77.9000    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.0160    -0.0160     2.9996     4.8000     4.8000     0.0000     0.0000     0.0000   100.000
      6     0.0000      1.000 112773.000   2590.000      1.177    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -77.9000    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000     0.0000     0.0000   100.000
      7    -1.0000      1.000 115908.000   2544.000      1.156    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -77.9000    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605    -0.0160     0.0160     2.9996     4.8000     4.8000     0.0000     0.0000     0.0000   100.000
      8    -2.0000      1.000 111020.000   2499.000      1.136    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -77.9000    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605    -0.0321     0.0319     2.9983     4.8000     4.8000     0.0000     0.0000     0.0000   100.000
      9    -3.0000      1.000  99674.000   2502.000      1.137    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -77.9000    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605    -0.0482     0.0478     2.9961     4.8000     4.8000     0.0000     0.0000     0.0000   100.000
     10    -4.0000      1.000  83557.000   2584.000      1.175    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -77.9000    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605    -0.0643     0.0636     2.9931     4.8000     4.8000     0.0000     0.0000     0.0000   100.000
     11    -5.0000      1.000  64652.000   2497.000      1.135    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -77.9000    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605    -0.0804     0.0794     2.9893     4.8000     4.8000     0.0000     0.0000     0.0000   100.000
# Sum of Counts = 956696
# Center of Mass = -0.353763+/-0.002895
# Full Width Half-Maximum = 5.573583+/-0.005234
# 7:53:01 AM  4/30/2024   scan completed.
